model,intercept,alpha,beta,alpha_gL,beta_lambda,gamma_n,R2,RMSE,n
log(gL) + log(lambda_coh),0.6665892166156839,1.0068530658939772,0.9089408953107565,1.0068530658939772,0.9089408953107565,,0.9832722879963351,0.15582603389832003,27
log(gL) + log(lambda_coh) + log(n),0.579052626820819,1.0068530658939774,0.9081712687426555,1.0068530658939774,0.9081712687426555,0.042943393613840086,0.983327571174826,0.15556832717302638,27
