L,channel,gL,gamma,m2_mean,m2_sem,delta_coh_single_layer,delta_coh_layered,delta_sec_layered,delta_cov,active_ell,active_j,n_init,n_input,n,sector_r,teacher_seed,m2_noiseless_mean,m2_baseline,log_decay,lambda_w,gamma_L,D_M,lambda_coh
3,depol,0.2,0.0666666666666666,9.680287690516668e-06,7.426528816559565e-07,0.3639461859261543,0.722201011925159,0.5986607728992979,1.8523899546301127e-16,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,2.4899213943616405,6.647586339771916,0.2,2.4899213943616405,6.647586339771916
3,depol,0.3,0.0999999999999999,2.7941925983413703e-06,2.143650324662241e-07,0.4958551783691514,0.8471285703904852,0.7169383749237539,1.783225413818817e-16,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,3.7324698240090415,6.647586339771916,0.3,3.7324698240090415,6.647586339771916
3,dephase,0.01,0.0033333333333333,0.0001106642795956,8.489948725244466e-06,0.0132888888888892,0.0393392297085547,0.0,1.0429889617075444e-16,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,0.0535119052067222,3.995999999999889,0.01,0.0535119052067222,3.995999999999889
3,dephase,0.03,0.01,9.932440952085012e-05,7.6199759044040175e-06,0.0395999999999999,0.1141576191359997,0.0,1.5108934048201682e-16,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,0.1616216585399052,3.995999999999889,0.03,0.1616216585399052,3.995999999999889
3,dephase,0.05,0.0166666666666666,8.901461786309004e-05,6.829028700282211e-06,0.0655555555555569,0.1840558010973968,5.329070518200751e-15,1.7212346769013724e-16,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,0.2712124134051935,3.995999999999889,0.05,0.2712124134051935,3.995999999999889
3,dephase,0.1,0.0333333333333333,6.722666997396804e-05,5.157499629810775e-06,0.1288888888888896,0.3389707764060371,2.775557561562892e-15,2.008473690546679e-16,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,0.5519429718953646,3.995999999999889,0.1,0.5519429718953646,3.995999999999889
3,dephase,0.2,0.0666666666666666,3.715900978214972e-05,2.8507671028444764e-06,0.2488888888888892,0.5762472208504805,0.0,1.6857176617326432e-16,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,1.1448067491251486,3.995999999999889,0.2,1.1448067491251486,3.995999999999889
3,dephase,0.3,0.0999999999999999,1.95869710879864e-05,1.5026744025030606e-06,0.3600000000000002,0.7378560000000003,5.551115123125785e-16,1.353857105366723e-16,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,1.785148410513442,3.995999999999889,0.3,1.785148410513442,3.995999999999889
3,x_err,0.01,0.0033333333333333,9.949444022496327e-05,7.633020316862241e-06,0.0263196439921378,0.0764350712247026,0.0761086322150733,0.0129920816256155,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,0.1599112498358756,7.973049945035338,0.01,0.1599112498358756,7.973049945035338
3,x_err,0.03,0.01,7.230142057996347e-05,5.546824542566687e-06,0.0769269610829482,0.2098720866993779,0.2073359843527898,0.037196377329585,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,0.4791692379225983,7.973049945035338,0.03,0.4791692379225983,7.973049945035338
