model,n,k_params,R2,RMSE,AIC,beta_0,beta_1,beta_2
gamma_L + lambda_coh^worst,96,3,0.9789286969060367,0.2046272132622547,-298.6205620151774,0.6140790426534799,1.0020390827949082,0.9636245514813875
REFERENCE MODEL,96,3,0.9789286969060367,0.2046272132622547,-298.6205620151774,0.6140790426534799,1.0020390827949082,0.9636245514813875
gamma_L + lambda_coh^typical,96,3,0.9789199622777388,0.20466962064096195,-298.58077564955477,0.6140677352486216,1.0020390827949082,0.9636778687233305
gamma_L + 1-Purity,96,3,0.9614122510247228,0.27691240726360866,-240.53837607697986,1.7620806579642176,0.11007624484215994,0.9742462263044152
gamma_L + state offdiag loss,96,3,0.9493887353530661,0.3171328915880187,-214.49940030441547,2.1678259289829844,0.12284563918309133,0.9141656896283138
gamma_L + 1-u,96,3,0.8090390481566061,0.6160131428894234,-87.02150012481981,2.8883510634186913,-0.33739363104827225,1.359325481439739
gamma_L + 1-F_avg,96,3,0.8084404384432297,0.6169779027420907,-86.72103739206814,4.623641726568881,-0.3267976719890734,1.3280034554748306
gamma_L + ||E-id||_diamond^UB,96,3,0.8084404384432273,0.6169779027420944,-86.72103739206698,3.1646808109905313,-0.32679767198906917,1.3280034554748328
gamma_L only,96,2,0.6697461197864314,0.8101056426812371,-36.43339841729509,1.9042795178543814,1.0020390827949084,
