quantity,value
R2_full,0.9789609298028574
R2_coherence_rate,0.9789286969060367
R2_gL_only,0.6697461197864314
R2_partial_audit,0.9361966524652582
RMSE_full,0.20447064363449058
RMSE_coherence_rate,0.20462721326225472
RMSE_gL_only,0.8101056426812369
n_data_points,96.0
