model,R2,RMSE,alpha_gL,beta_pred,n
lambda_coh,0.9789286969060367,0.2046272132622547,1.0020390827949082,0.9636245514813875,96
omega_eff_x_lambda_coh,0.9913805143798328,0.13087550409709764,1.0020390827949082,0.9610771219957016,96
