seed,n,L,sector_r,channel,gL,gamma,m2_mean,m2_sem,delta_coh_single_layer,delta_coh_layered,delta_sec_layered,delta_cov,active_ell,active_j,n_init,n_input,gamma_L
2,8,4,1,dephase,0.05,0.0125,0.0002766208804217,2.277521070466244e-05,0.0493749999999995,0.1833481963377367,0.0,1.6422654164002352e-16,1,0,40,4,0.05
2,8,4,1,dephase,0.1,0.025,0.0002280754071305,1.855810288652437e-05,0.0975000000000003,0.3365795687109388,0.0,1.830260761012727e-16,1,0,40,4,0.1
2,8,4,1,dephase,0.2,0.05,0.0001524819840176,1.213642005608072e-05,0.1900000000000008,0.5695327900000018,2.220446049250313e-15,2.0038516605125406e-16,1,0,40,4,0.2
2,8,4,1,dephase,0.3,0.075,9.944690769157976e-05,7.759480405086447e-06,0.2774999999999996,0.727509474960937,0.0,1.7284433979273244e-16,1,0,40,4,0.3
2,8,4,1,x_err,0.01,0.0025,0.0002845040327494,2.371279582411726e-05,0.0198044029525333,0.0763741809060414,0.076048266372962,0.0098010522912051,1,0,40,4,0.01
2,8,4,1,x_err,0.03,0.0075,0.0002069640848989,1.7248571230157463e-05,0.0582609066462815,0.2094140593478888,0.206889265258459,0.0283910851823229,1,0,40,4,0.03
2,8,4,1,x_err,0.05,0.0125,0.0001508402755918,1.2569039224222363e-05,0.0952273282896153,0.3201724710513025,0.3141353262596186,0.0456858019628886,1,0,40,4,0.05
2,8,4,1,x_err,0.1,0.025,6.900469025652484e-05,5.745277237207971e-06,0.1814742322387295,0.5240121610742634,0.5074050681952675,0.083661701701963,1,0,40,4,0.1
2,8,4,1,x_err,0.2,0.05,1.5057497964872469e-05,1.249434226291195e-06,0.3301466302904337,0.7436822871472724,0.7122515464576937,0.1400650505672629,1,0,40,4,0.2
2,8,4,1,x_err,0.3,0.075,3.5004293320467898e-06,2.887569389038226e-07,0.451638925779139,0.8431497217927622,0.8098551319514037,0.1755469833701101,1,0,40,4,0.3
3,8,4,1,amp_damp,0.01,0.0025,0.0004931562626221,6.12359309589627e-05,0.0025,0.0099625624609376,0.0099625624609374,5.73748456934819e-17,1,0,40,4,0.01
3,8,4,1,amp_damp,0.03,0.0075,0.0004737240584089,5.882300587665822e-05,0.0075,0.0296641843359373,0.0296641843359373,9.025654603166192e-17,1,0,40,4,0.03
3,8,4,1,amp_damp,0.05,0.0125,0.0004549651718483,5.6493687627339545e-05,0.0125,0.0490702880859372,0.0490702880859372,1.0809600230852083e-16,1,0,40,4,0.05
3,8,4,1,amp_damp,0.1,0.025,0.0004108830665535,5.101994844777757e-05,0.025,0.0963121093750003,0.0963121093750001,1.364210647772177e-16,1,0,40,4,0.1
3,8,4,1,amp_damp,0.2,0.05,0.0003337875701736,4.144688844349697e-05,0.0500000000000001,0.1854937500000005,0.1854937500000004,1.7307285496990296e-16,1,0,40,4,0.2
3,8,4,1,amp_damp,0.3,0.075,0.0002696591614461,3.348397058767831e-05,0.075,0.2679058593749999,0.2679058593749996,2.018966051629226e-16,1,0,40,4,0.3
