max_gL_lambda,n,intercept,alpha,beta,R2,note
0.01,7,1.0217285502996016,1.0657097122752133,0.9485084969226651,0.9168644685669716,pooled paired log Delta_tilde
0.03,13,0.61789295798552,1.001276808255732,0.8896258612289614,0.9232020671308143,pooled paired log Delta_tilde
0.1,20,0.47816296482263093,0.9796902403604775,0.9068209040108639,0.941205457620951,pooled paired log Delta_tilde
0.3,26,0.3122191819541685,0.9520198836577924,0.9148759264283359,0.9582793331381332,pooled paired log Delta_tilde
1.0,28,0.31817623345470364,0.9533930771210489,0.9162375177662454,0.9659730812501847,pooled paired log Delta_tilde
