n,L,sector_r,channel,gL,gamma,lambda_coh,gL_lambda,n_init,n_input,n_pairs,m2_baseline,m2_baseline_sem,m2_mean,m2_sem,ratio_paired,ratio_paired_sem,delta_tilde,delta_tilde_sem,D_M,log_D_M,omega_eff_linear,omega_eff,elapsed_s,gamma_L
8,4,1,depol,0.01,0.0025,6.647586339771916,0.0664758633977191,40,4,160,0.0238047402685948,0.0022186889360836,0.021114327585411,0.0019679326250999,0.8869799605949321,2.3353134388041683e-14,0.1130200394050678,2.33531334544205e-14,0.1199328892671909,-2.12082294874886,0.8500832755558134,0.9020784622957296,105.4623246192932,0.01
8,4,1,depol,0.02,0.005,6.647586339771916,0.1329517267954383,40,4,160,0.026217689960748,0.0023289991182602,0.0206291389471384,0.0018325507125259,0.7868404492548136,1.6893050106700377e-15,0.2131595507451865,1.689298127200276e-15,0.2397297839579492,-1.4282428901171114,0.8016426558835045,0.9015670188579098,104.22153520584106,0.02
8,4,1,depol,0.03,0.0075,6.647586339771916,0.1994275901931574,40,4,160,0.0390323125910794,0.0028492624970281,0.0272485906125214,0.0019890798719129,0.6981034123699068,4.571619761726958e-16,0.3018965876300932,4.571619761726958e-16,0.3593880319359248,-1.0233526053097752,0.7569077762452237,0.901048926048387,103.00436425209044,0.03
8,4,1,depol,0.05,0.0125,6.647586339771916,0.3323793169885958,40,4,160,0.0232109317832063,0.0020992518980072,0.0127603834825266,0.0011540794439099,0.5497574850381133,4.921737391086245e-16,0.4502425149618867,4.921737391086245e-16,0.5982780342909535,-0.5136996927968743,0.677302244678081,0.8999928751756249,103.34565854072572,0.05
8,4,1,dephase,0.001,0.00025,3.995999999999889,0.0039959999999998,40,4,160,0.0302549808457311,0.00256580761532,0.0301341724955618,0.0025555623275626,0.9960069930043762,2.723818282647464e-15,0.0039930069956238,2.7238067560842118e-15,0.0040010003334553,-5.52121086576403,0.4996254999529506,0.5006256673492873,73.60116958618164,0.001
8,4,1,dephase,0.003,0.00075,3.995999999999889,0.0119879999999996,40,4,160,0.0289900729271076,0.0023638937629982,0.028644012957714,0.0023356755172101,0.9880628113539396,6.2086831587392575e-15,0.0119371886460603,6.208677148622493e-15,0.0120090090101477,-4.422098160020936,0.4978807409935201,0.5008762516745124,74.095134973526,0.003
8,4,1,dephase,0.005,0.00125,3.995999999999889,0.0199799999999994,40,4,160,0.019721640969731,0.0019709857859232,0.0193306422348888,0.0019319092734834,0.9801741277289076,2.861474897522917e-15,0.0198258722710923,2.861470222644261e-15,0.0200250417449538,-3.9107717013879952,0.4961429497270503,0.5011271707946556,74.27026104927063,0.005
8,4,1,dephase,0.01,0.0025,3.995999999999889,0.0399599999999988,40,4,160,0.0372785490650374,0.0027834955574432,0.0358132427613671,0.0026740848188588,0.9606930435755072,3.5222441216599454e-14,0.0393069564244927,3.522244110483408e-14,0.0401003345882809,-3.2163706008570188,0.4918287840902626,0.5017559382918172,74.03285598754883,0.01
8,4,1,dephase,0.02,0.005,3.995999999999889,0.0799199999999977,40,4,160,0.0434842918623497,0.0026698402092588,0.0401248996069382,0.0024635808880639,0.9227446944279136,1.2036129027463109e-15,0.0772553055720861,1.203577478095242e-15,0.0804026868280184,-2.5207076850966583,0.4833289888143662,0.5030198124876167,71.65031099319458,0.02
8,4,1,dephase,0.03,0.0075,3.995999999999889,0.1198799999999966,40,4,160,0.0335814439722635,0.0024301672549082,0.0297570044865622,0.0021534064457481,0.8861145015425788,7.974318106611403e-16,0.1138854984574211,7.973947468798681e-16,0.120909102480379,-2.1127162348623294,0.4749979081474153,0.5042922192208142,73.132150888443,0.03
8,4,1,dephase,0.05,0.0125,3.995999999999889,0.1997999999999944,40,4,160,0.034691222548014,0.0028051589550798,0.0283306494650847,0.0022908381202253,0.8166518036622644,1.2876597887782457e-15,0.1833481963377354,1.2876315680483925e-15,0.202542463874316,-1.5968057162743556,0.4588293201645159,0.5068630227085126,73.8714690208435,0.05
8,4,1,x_err,0.001,0.00025,7.973049945035338,0.0079730499450353,40,4,160,0.0282231226374976,0.0023130398429901,0.0277752053151329,0.0022763305335193,0.9841293100587016,6.860986267162618e-08,0.0158706899412984,6.860986267162618e-08,0.0159979779024888,-4.135292945823566,0.9952709471725294,1.0032533354723612,73.75904560089111,0.001
8,4,1,x_err,0.003,0.00075,7.973049945035338,0.023919149835106,40,4,160,0.0300857306811733,0.0025681908476468,0.0286762871246567,0.0024478774353191,0.953151705798488,4.088426376233696e-07,0.046848294201512,4.088426376233696e-07,0.0479812003804774,-3.0369460035326163,0.9793051702187396,1.0029871611501773,73.12661266326904,0.003
8,4,1,x_err,0.005,0.00125,7.973049945035338,0.0398652497251766,40,4,160,0.0379756818288077,0.0028094368349428,0.0350578476356025,0.0025935774279088,0.9231655239188228,3.106498986437721e-07,0.0768344760811771,3.106498986437721e-07,0.079946728034338,-2.5263947656886234,0.963677345694046,1.0027119933460251,73.05399942398071,0.005
8,4,1,x_err,0.01,0.0025,7.973049945035338,0.0797304994503533,40,4,160,0.032081390044092,0.0031354244273509,0.0273437884709164,0.0026724110471331,0.8523067170037336,4.016702886608217e-06,0.1476932829962664,4.016702886608217e-06,0.1598088204527525,-1.833777050347516,0.9262031720259832,1.002181232743076,70.84332156181335,0.01
8,4,1,x_err,0.02,0.005,7.973049945035338,0.1594609989007067,40,4,160,0.0338338610902672,0.0025710459508616,0.0245897859266573,0.0018685788918307,0.7267908302917883,7.616117997100556e-06,0.2732091697082118,7.616117997100556e-06,0.3191165590892586,-1.1421988539410537,0.8566645499265115,1.0006100591655214,74.13464546203613,0.02
8,4,1,x_err,0.03,0.0075,7.973049945035338,0.2391914983510601,40,4,160,0.0433679795492661,0.0026293960248176,0.0268887823449532,0.0016302573740659,0.6201869328092798,0.0001181198534023,0.3798130671907201,0.0001181198534023,0.4777343418552604,-0.7387004711654516,0.7939518540773354,0.9986440679302326,73.79353356361389,0.03
8,4,1,x_err,0.05,0.0125,7.973049945035338,0.3986524972517669,40,4,160,0.0260053544380622,0.0022378936423477,0.0117496354049886,0.0010111341341481,0.4581925704332023,0.0031521096427101,0.5418074295667977,0.0031521096427101,0.7804657237751217,-0.2478644557179161,0.6795485207065216,0.9788797626447862,73.99072623252869,0.05
