held_out,n_train,n_test,intercept,slope_gL,slope_lambda,slope_L,R2_train,R2_test,rmse_test
amp_damp,78,24,0.023778531281572403,0.9987800105421464,1.354594763081356,-0.07882034817889128,0.9805276618945278,0.531047816055084,0.7963304631604491
dephase,78,24,0.7247150564278013,0.9964459664079084,0.9708256399264727,-0.020183173247288966,0.9994514565235125,0.8513772282079699,0.4566775964563508
depol,78,24,0.7032002261069171,1.0034775507135953,0.938025393953624,-0.04751683542009011,0.9749422778502664,0.9909214060158563,0.1091501287807512
gen_amp_damp,96,6,0.6595862694452038,1.0020390827949077,0.963624551481387,-0.030925193675527263,0.9789609298028574,0.9907967721268354,0.10952284710624755
x_err,78,24,0.7408988256932935,1.0062455277946574,0.8886211093681027,-0.04756629071730317,0.9777619715101363,0.949123742972986,0.25600134672020175
