n,L,sector_r,teacher_seed,active_ell,active_j,n_init,n_input,m2_noiseless_mean,m2_noiseless_sem
8,3,1,42,1,0,50,5,0.0001167474453925284,8.956637397426872e-06
8,4,1,1,2,7,40,4,5.515139086260876e-05,8.57235484361921e-06
8,4,1,2,1,0,40,4,0.0003337948728042349,2.7821367435130804e-05
8,4,1,3,1,0,40,4,0.0005031312790970871,6.247454327410951e-05
8,4,1,4,1,0,40,4,0.003475650510919867,0.00029178218788915804
8,4,1,5,2,7,40,4,0.0008370127652701922,7.778131820601997e-05
8,4,1,42,2,0,50,5,0.00035569909116067743,2.886357498529672e-05
8,5,1,42,3,1,50,5,0.0007236090996630271,7.066060783109561e-05
8,6,1,42,4,0,50,5,0.0010322054683006895,8.390876658109484e-05
