topology,n,L,r,channel,gamma_L,gamma,lambda_coh,gL_lam,m2_zero,m2_noise,delta_tilde,delta_tilde_low,delta_tilde_high,D_M,D_M_low,D_M_high,ell_act,j_act,n_samples,wallclock_s
open_chain,8,3,1,amp_damp,0.005,0.0016666666666666668,0.9999999999998899,0.004999999999999449,2.7856808634248136e-05,2.7579398672153255e-05,0.00995842581026396,0.009958425810180693,0.009958425810335014,0.01000834260418388,0.010008342604099685,0.010008342604255547,2,1,160,53.3910927772522
open_chain,8,3,1,amp_damp,0.01,0.0033333333333333335,0.9999999999998899,0.009999999999998899,2.7856808634248136e-05,2.730429467984744e-05,0.01983407222467748,0.019834072224590993,0.01983407222474398,0.02003340759307498,0.02003340759298684,0.020033407593142885,2,1,160,50.88175845146179
open_chain,8,3,1,amp_damp,0.03,0.01,0.9999999999998899,0.029999999999996696,2.7856808634248136e-05,2.6226632354807026e-05,0.05851985059899911,0.058519850598920065,0.05851985059910658,0.06030201512100782,0.060302015120923785,0.06030201512112196,2,1,160,54.03653907775879
open_chain,8,3,1,amp_damp,0.05,0.016666666666666666,0.9999999999998899,0.04999999999999449,2.7856808634248136e-05,2.51846504999953e-05,0.09592477621315132,0.0959247762130597,0.09592477621320916,0.10084270989830613,0.10084270989820479,0.10084270989837016,2,1,160,50.8168671131134
open_chain,8,3,1,amp_damp,0.1,0.03333333333333333,0.9999999999998899,0.09999999999998899,2.7856808634248136e-05,2.2729601405055265e-05,0.18405580109737707,0.1840558010973209,0.18405580109745,0.20340931005406782,0.2034093100539988,0.20340931005415713,2,1,160,52.182528495788574
open_chain,8,3,1,amp_damp,0.25,0.08333333333333333,0.9999999999998899,0.24999999999997247,2.7856808634248136e-05,1.6527227125429164e-05,0.40670780553411945,0.4067078055340634,0.4067078055341675,0.5220682619377742,0.5220682619376795,0.5220682619378553,2,1,160,52.141483545303345
open_chain,8,3,1,amp_damp,0.5,0.16666666666666666,0.9999999999998899,0.49999999999994493,2.7856808634248136e-05,9.329188848382592e-06,0.6651020233196074,0.665102023319578,0.6651020233196295,1.0939293407637023,1.0939293407636148,1.0939293407637685,2,1,160,51.64814758300781
open_chain,8,3,1,dephase,0.005,0.0016666666666666668,3.9959999999999996,0.019979999999999998,2.7856808634248136e-05,2.7122569429697638e-05,0.0263576210107499,0.026357621010440105,0.026357621010908334,0.026711210124208257,0.02671121012388987,0.026711210124370843,2,1,160,53.75775980949402
open_chain,8,3,1,dephase,0.01,0.0033333333333333335,3.9959999999999996,0.039959999999999996,2.7856808634248136e-05,2.6405320039152435e-05,0.052105343944933824,0.05210534394461447,0.05210534394503963,0.053511905206438476,0.05351190520610166,0.05351190520655003,2,1,160,51.42633819580078
open_chain,8,3,1,dephase,0.03,0.01,3.9959999999999996,0.11987999999999999,2.7856808634248136e-05,2.3699542713154945e-05,0.14923697741822806,0.14923697741805114,0.14923697741833197,0.16162165854017174,0.16162165853996374,0.16162165854029378,2,1,160,54.22319507598877
