model,predictors,k,R2,RMSE,AIC,delta_AIC_vs_coherence_rate
noise-depth only,log(gL),1,0.6697461197864314,0.8101056426812369,-36.43339841729514,262.1871635978823
log(Delta_coh^layered),log(gL*lambda_coh),1,0.9786009518227771,0.20621246846290764,-299.13886235168513,-0.518300336507707
log(lambda_coh) only,log(lambda_coh),1,0.30918257711960506,1.1716538767679539,34.415933545104096,333.03649556028154
channel fixed effects,3 dummies,3,0.32618439063617277,1.1571461813048214,36.023702787490905,334.6442648026683
coherence-rate model,log(gL) + log(lambda_coh),2,0.9789286969060367,0.20462721326225472,-298.6205620151774,0.0
+ explicit depth,log(gL) + log(lambda_coh) + log(L),3,0.9789609298028574,0.20447064363449058,-296.76752621697733,1.8530357982000965
