analysis,predictor,estimate,std_error,p_value,n,R2
C4_pooled_v3,intercept,0.6595862694452038,0.13742233017265282,6.12234099728326e-06,96,0.9789609298028574
C4_pooled_v3,log(gL),1.0020390827949077,0.01851607432162536,0.0,96,0.9789609298028574
C4_pooled_v3,log(lambda_coh),0.963624551481387,0.02620714477013519,0.0,96,0.9789609298028574
C4_pooled_v3,log(L),-0.030925193675527263,0.08237247531169577,0.708204034913483,96,0.9789609298028574
C4_pooled_v3,F_drop_lambda,1351.9987731618917,,1.1102230246251565e-16,96,0.3091825771196053
C4_pooled_v3,F_drop_L,0.14094855332096942,,0.7082040349134813,96,3.22328968207497e-05
C4_pooled_v3,partial_R2_lambda,0.9362880345122804,,,96,0.9362880345122804
