L,channel,gL,gamma,m2_mean,m2_sem,delta_coh_single_layer,delta_coh_layered,delta_sec_layered,delta_cov,active_ell,active_j,n_init,n_input,n,sector_r,teacher_seed,m2_noiseless_mean,m2_baseline,log_decay,lambda_w,gamma_L,D_M,lambda_coh,infidelity,unitarity_loss,purity_loss,diamond_norm_ub,offdiag_state_loss,lambda_coh_typical
3,amp_damp,0.01,0.0033333333333333335,0.0001144318681285,8.778990804396025e-06,0.0033333333333335,0.0099667037037037,0.0099667037037036,6.573448002853583e-17,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,0.0200334075934121,0.99999999999989,0.01,0.0200334075934121,0.99999999999989,0.0011115748472901865,0.0044407407407413,0.006644444444444619,0.0033347245418708926,0.003333333333333341,0.9999999999998899
3,amp_damp,0.03,0.01,0.0001099154023303,8.432496315060071e-06,0.0100000000000001,0.029701,0.0297009999999999,9.991808845015623e-17,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,0.0603020151211541,0.99999999999989,0.03,0.0603020151211541,0.99999999999989,0.003337520964460161,0.013300000000000423,0.019800000000000123,0.010012562893380261,0.009999999999999953,0.9999999999998899
3,amp_damp,0.05,0.016666666666666666,0.0001055484728197,8.09747395945651e-06,0.0166666666666669,0.0491712962962969,0.0491712962962966,1.1862897961671426e-16,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,0.1008427098989439,0.99999999999989,0.05,0.1008427098989439,0.99999999999989,0.0055672270968107895,0.022129629629630165,0.03277777777777824,0.01670168129043259,0.016666666666666802,0.9999999999998899
3,amp_damp,0.1,0.03333333333333333,9.525940080473236e-05,7.308116326104594e-06,0.0333333333333335,0.096703703703704,0.0967037037037039,1.5038239879158064e-16,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,0.2034093100538447,0.99999999999989,0.1,0.2034093100538447,0.99999999999989,0.01115819547216379,0.0440740740740746,0.06444444444444479,0.03347458641649159,0.03333333333333345,0.9999999999998899
3,amp_damp,0.2,0.06666666666666667,7.717347318440183e-05,5.920599064833765e-06,0.0666666666666667,0.1869629629629631,0.186962962962963,1.9237589279666247e-16,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,0.413957228921465,0.99999999999989,0.2,0.413957228921465,0.99999999999989,0.02241385008467922,0.0874074074074076,0.12444444444444472,0.06724155025403755,0.06666666666666667,0.9999999999998899
3,amp_damp,0.3,0.09999999999999999,6.204437912685063e-05,4.759924335125932e-06,0.1,0.2710000000000002,0.2710000000000002,2.246614762286373e-16,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,0.6321630939467154,0.99999999999989,0.3,0.6321630939467154,0.99999999999989,0.03377223398316209,0.13000000000000045,0.1800000000000003,0.10131670194948628,0.1,0.9999999999998899
3,depol,0.01,0.0033333333333333335,0.0001030855329101,7.908521990286693e-06,0.0219964606531095,0.0643814396077883,0.051583183039204,9.05630960304012e-17,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,0.1244539550757449,6.647586339771916,0.01,0.1244539550757449,6.647586339771916,0.0022222222222222365,0.008869135802469619,0.041744285717039795,0.006666666666666599,0.021996460653109257,6.647586339771694
3,depol,0.03,0.01,8.036676158489456e-05,6.165581952574559e-06,0.0646596858515536,0.1803792667794008,0.144972583597159,1.3122005957695202e-16,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,0.3734123377202359,6.647586339771916,0.03,0.3734123377202359,6.647586339771916,0.00666666666666671,0.02648888888888956,0.12012159808481333,0.020000000000000018,0.06465968585155345,6.647586339771694
3,depol,0.05,0.016666666666666666,6.265162730214509e-05,4.80651123643307e-06,0.1056041344070536,0.2812776099895097,0.2267965727389351,1.5349260247036396e-16,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,0.6224233598029119,6.647586339771916,0.05,0.6224233598029119,6.647586339771916,0.011111111111111183,0.04395061728395133,0.19213327072545053,0.03333333333333366,0.10560413440705337,6.647586339771694
3,depol,0.1,0.03333333333333333,3.361415011645652e-05,2.5788123500563043e-06,0.2008548591264759,0.4801003762359606,0.3904443346034496,1.7582334690470794e-16,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,1.245065902567893,6.647586339771916,0.1,1.245065902567893,6.647586339771916,0.022222222222222254,0.08691358024691398,0.34752246757181593,0.06666666666666687,0.20085485912647572,6.647586339771694
3,depol,0.2,0.06666666666666667,9.680287690516668e-06,7.426528816559565e-07,0.3639461859261543,0.722201011925159,0.5986607728992979,1.8523899546301127e-16,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,2.4899213943616405,6.647586339771916,0.2,2.4899213943616405,6.647586339771916,0.0444444444444444,0.16987654320987688,0.5743149333153557,0.1333333333333333,0.36394618592615413,6.647586339771694
3,depol,0.3,0.09999999999999999,2.7941925983413703e-06,2.143650324662241e-07,0.4958551783691514,0.8471285703904852,0.7169383749237539,1.783225413818817e-16,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,3.7324698240090415,6.647586339771916,0.3,3.7324698240090415,6.647586339771916,0.06666666666666676,0.24888888888888927,0.7216846820581397,0.20000000000000018,0.49585517836915133,6.647586339771694
3,dephase,0.01,0.0033333333333333335,0.0001106642795956,8.489948725244466e-06,0.0132888888888892,0.0393392297085547,0.0,1.0429889617075444e-16,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,0.0535119052067222,3.995999999999889,0.01,0.0535119052067222,3.995999999999889,0.0022222222222222365,0.0088592592592599,0.021016653683117795,0.006666666666666599,0.013288888888888989,3.9959999999992224
