r,n,L,channel,gamma_L,gamma,lambda_coh,gL_lam,m2_zero,m2_noise,delta_tilde,delta_tilde_low,delta_tilde_high,D_M,D_M_low,D_M_high,ell_act,j_act,n_samples,wallclock_s
3,6,2,amp_damp,0.25,0.125,2.997000999999888,0.749250249999972,0.031319183665307025,0.006308223470294357,0.7985827619995689,0.7985827619995686,0.7985827619995693,1.6023767114942717,1.6023767114942697,1.602376711494274,0,5,160,6.321940898895264
3,6,2,dephase,0.005,0.0025,11.940159760191914,0.059700798800959576,0.031319183665307025,0.030583572774604363,0.023487549949059328,-0.010444227320692856,0.040107868322094675,0.023767779078537745,-0.010390063138349191,0.040934363668946705,0,5,160,3.0334174633026123
3,6,2,dephase,0.01,0.005,11.940159760191914,0.11940159760191915,0.031319183665307025,0.029899383998779457,0.0453332271268716,-0.018818016382426615,0.07919998993436383,0.04639292831993139,-0.01864313570265547,0.08251241064306099,0,5,160,3.068563461303711
3,6,2,dephase,0.03,0.015,11.940159760191914,0.3582047928057574,0.031319183665307025,0.026713163834978425,0.14706704617690258,-0.007506232157018212,0.21403711822925442,0.15907433502148982,-0.007477044053510084,0.24084571187827597,0,5,160,4.7277610301971436
3,6,2,dephase,0.05,0.025,11.940159760191914,0.5970079880095958,0.031319183665307025,0.02411320251169426,0.23008202354887664,0.03197632983655091,0.31649780026071933,0.26147129389795154,0.0325009243025051,0.38052698749818087,0,5,160,4.590338706970215
3,6,2,dephase,0.1,0.05,11.940159760191914,1.1940159760191915,0.031319183665307025,0.019984058556975135,0.361922750907715,0.12794533984023718,0.4826778116052127,0.4492959228849972,0.13690328464408433,0.6590910854704966,0,5,160,2.9989941120147705
3,6,2,dephase,0.25,0.125,11.940159760191914,2.9850399400479786,0.031319183665307025,0.02297209010804216,0.2665169579918244,-0.008461434270726157,0.526077915198353,0.30995080094627947,-0.008425617176194252,0.746712349670897,0,5,160,3.040987253189087
3,6,2,depol,0.005,0.0025,7.973380693358734,0.03986690346679367,0.031319183665307025,0.030003559933246618,0.042006961168587376,0.033556337903734246,0.05211209689506824,0.042914767393195746,0.034132272672897125,0.05351902938858886,0,5,160,7.271983861923218
3,6,2,depol,0.01,0.005,7.973380693358734,0.07973380693358734,0.031319183665307025,0.028574140160552736,0.0876473516707601,0.07014427347469968,0.10147063401901468,0.09172868784802132,0.07272584135473373,0.10699588995261722,0,5,160,4.1786415576934814
3,6,2,depol,0.03,0.015,7.973380693358734,0.239201420800762,0.031319183665307025,0.023572787828770363,0.24733709279649974,0.19693126787690401,0.27419492050861194,0.2841378178111736,0.2193149948850799,0.32047378575509067,0,5,160,4.199101448059082
3,6,2,depol,0.05,0.025,7.973380693358734,0.3986690346679367,0.031319183665307025,0.019373016362848345,0.38143290802600716,0.3185274110614249,0.4124148258879777,0.48034961773109014,0.3834992936853148,0.5317340733401791,0,5,160,7.293652296066284
3,6,2,depol,0.1,0.05,7.973380693358734,0.7973380693358734,0.031319183665307025,0.011979591667403679,0.6174998749832121,0.5370690182011558,0.6456020305713372,0.9610262988743244,0.7701773912744588,1.0373349661029772,0,5,160,4.206973075866699
3,6,2,depol,0.25,0.125,7.973380693358734,1.9933451733396834,0.031319183665307025,0.0033721839088069394,0.8923284864368165,0.857302495675232,0.9120858783730423,2.2286702278261457,1.9470286108829464,2.4313967981955726,0,5,160,4.240866184234619
