phase,what,alpha,beta,R2,n
P9/main,log_DM ~ log_gL + log_lam,1.0020390827949082,0.9636245514813875,0.9789286969060367,96
P12 r=2,sector r=2,1.0509640230360464,-0.08424355194838978,0.7077334099977268,18
P12 r=3,sector r=3,0.9248259965618859,-0.19058724195377147,0.8870978459795885,18
P13,open chain,1.017465963951425,0.9050427317264504,0.992901081079051,21
P11,log(gL) + log(lambda_coh),1.0068530658939772,0.9089408953107564,0.9832722879963351,27
P11,log(gL) + log(lambda_coh) + log(n),1.0068530658939774,0.9081712687426556,0.983327571174826,27
