estimator,alpha_point,alpha_se,alpha_lo95_robust_normal,alpha_hi95_robust_normal,beta_point,beta_se,beta_lo95_robust_normal,beta_hi95_robust_normal,n,n_boot_clusters
OLS HC0,1.0020390827949082,0.01807874131866688,0.9666047498103211,1.0374734157794951,0.9636245514813875,0.013661269961497477,0.9368484623568524,0.9904006406059226,96,
"Cluster bootstrap (channel,L)",1.0020390827949082,0.0034767559114032235,0.9958286302483405,1.0091256904736712,0.9636245514813875,0.0855277591625179,0.8842505785042027,1.1261365066999136,96,16.0
